[SENSOR][DROP] PAYLOAD | age=1.856ms
[SENSOR][DROP] PAYLOAD | age=0.975ms
[SENSOR][DROP] PAYLOAD | age=18.952ms
[SENSOR][DROP] PAYLOAD | age=26.848ms
[SENSOR][DROP] PAYLOAD | age=1.078ms
[SENSOR][DROP] PAYLOAD | age=41.845ms
[SENSOR][DROP] PAYLOAD | age=1.700ms
[SENSOR][DROP] PAYLOAD | age=16.015ms
[SENSOR][DROP] PAYLOAD | age=1.034ms
[SENSOR][DROP] PAYLOAD | age=26.236ms
[SENSOR][DROP] PAYLOAD | age=1.523ms
[SENSOR][DROP] PAYLOAD | age=39.663ms
[SENSOR][DROP] PAYLOAD | age=11.446ms
[SENSOR][DROP] PAYLOAD | age=3.547ms
[SENSOR][DROP] PAYLOAD | age=27.152ms
[SENSOR][DROP] PAYLOAD | age=35.691ms
[SENSOR][DROP] PAYLOAD | age=1.584ms
[SENSOR][DROP] PAYLOAD | age=5.616ms
[SENSOR][DROP] PAYLOAD | age=0.906ms
[SENSOR][DROP] PAYLOAD | age=19.286ms
[SENSOR][DROP] PAYLOAD | age=27.696ms
[SENSOR][DROP] PAYLOAD | age=1.230ms
[SENSOR][DROP] PAYLOAD | age=43.709ms
[SENSOR][DROP] PAYLOAD | age=51.497ms
[SENSOR][DROP] PAYLOAD | age=9.378ms
[SENSOR][DROP] PAYLOAD | age=1.352ms
[SENSOR][DROP] PAYLOAD | age=20.229ms
[SENSOR][DROP] PAYLOAD | age=36.492ms
[SENSOR][DROP] PAYLOAD | age=3.407ms
[SENSOR][DROP] PAYLOAD | age=11.674ms
[SENSOR][DROP] PAYLOAD | age=0.970ms
[SENSOR][DROP] PAYLOAD | age=28.356ms
[SENSOR][DROP] PAYLOAD | age=38.168ms
[SENSOR][DROP] PAYLOAD | age=1.157ms
[SENSOR][JITTER_WARN] THERMAL cycle=137 jitter=1977.0µs > budget=1000.0µs
[SENSOR][JITTER_WARN] THERMAL cycle=138 jitter=1978.0µs > budget=1000.0µs
[SENSOR][DROP] PAYLOAD | age=1.920ms
[SENSOR][DROP] PAYLOAD | age=1.122ms
[SENSOR][DROP] PAYLOAD | age=17.634ms
[SENSOR][DROP] PAYLOAD | age=26.943ms
[SENSOR][DROP] PAYLOAD | age=1.053ms
[SENSOR][DROP] PAYLOAD | age=41.287ms
[SENSOR][DROP] PAYLOAD | age=51.678ms
[SENSOR][DROP] PAYLOAD | age=5.713ms
[SENSOR][DROP] PAYLOAD | age=1.045ms
[SENSOR][DROP] PAYLOAD | age=22.537ms
[SENSOR][DROP] PAYLOAD | age=31.331ms
[SENSOR][DROP] PAYLOAD | age=1.813ms
[SENSOR][DROP] PAYLOAD | age=1.150ms
[SENSOR][DROP] PAYLOAD | age=14.715ms
[SENSOR][DROP] PAYLOAD | age=1.189ms
[SENSOR][DROP] PAYLOAD | age=26.940ms
[SENSOR][DROP] PAYLOAD | age=40.962ms
[SENSOR][DROP] PAYLOAD | age=1.117ms
[SENSOR][DROP] PAYLOAD | age=11.796ms
[SENSOR][DROP] PAYLOAD | age=23.835ms
[SENSOR][DROP] PAYLOAD | age=0.857ms
[SENSOR][DROP] PAYLOAD | age=36.133ms
[SENSOR][DROP] PAYLOAD | age=1.928ms
[SENSOR][DROP] PAYLOAD | age=52.265ms
[SENSOR][DROP] PAYLOAD | age=0.953ms
[SENSOR][DROP] PAYLOAD | age=10.945ms
[SENSOR][DROP] PAYLOAD | age=21.385ms
[SENSOR][DROP] PAYLOAD | age=1.254ms
[SENSOR][DROP] PAYLOAD | age=35.972ms
[SENSOR][DROP] PAYLOAD | age=45.983ms
[SENSOR][DROP] PAYLOAD | age=1.902ms
[SENSOR][DROP] PAYLOAD | age=1.510ms
[SENSOR][DROP] PAYLOAD | age=18.723ms
[SENSOR][DROP] PAYLOAD | age=27.679ms
[SENSOR][DROP] PAYLOAD | age=1.569ms
[SENSOR][DROP] PAYLOAD | age=43.615ms
[SENSOR][DROP] PAYLOAD | age=3.035ms
[SENSOR][DROP] PAYLOAD | age=12.839ms
[SENSOR][DROP] PAYLOAD | age=0.964ms
[SENSOR][DROP] PAYLOAD | age=26.809ms
[SENSOR][DROP] PAYLOAD | age=37.967ms
[SENSOR][DROP] PAYLOAD | age=1.307ms
[SENSOR][DROP] PAYLOAD | age=50.544ms
[SENSOR][DROP] PAYLOAD | age=6.057ms
[SENSOR][DROP] PAYLOAD | age=1.120ms
[SENSOR][DROP] PAYLOAD | age=17.282ms
[SENSOR][DROP] PAYLOAD | age=31.007ms
